*Resistance	*Suseptible
SRR1177900	ERR029342
SRR1177912	ERR029353
SRR1177913	ERR029372
SRR1177936	ERR029384
SRR1177941	ERR029387
SRR1179014	ERR029459
SRR1179056	ERR029464
SRR1202667	ERR029465
SRR1202711	ERR029475
SRR1202736	ERR030151
SRR1202742	ERR030153
SRR1206476	ERR030159
SRR1212964	ERR030160
SRR1212965	ERR030172
SRR1212974	ERR030182
SRR1213065	ERR030187
SRR1213070	ERR030189
SRR1213075	ERR030194
SRR1213076	ERR030202
SRR1213111	ERR030204
SRR1213148	ERR030215
SRR1213709	ERR030225
SRR1213839	ERR030230
SRR1218543	ERR030232
SRR1218551	ERR030247
SRR1218553	ERR030253
SRR1218641	ERR030259
SRR1218679	ERR030263
SRR1252011	ERR030275
SRR1290862	ERR030279
SRR1290882	ERR031670
SRR1290888	ERR053012
SRR1290896	ERR053020
SRR1290900	ERR053029
SRR1293385	ERR053038
SRR1293391	ERR053039
SRR1293409	ERR410034
SRR1293418	ERR410039
SRR1293502	ERR410047
SRR1293560	ERR410056
SRR1293611	ERR410067
SRR1293616	ERR410086
SRR1293677	ERR410096
SRR1300907	ERR410099
SRR1302888	ERR410107
SRR1302915	ERR410112
SRR1303239	ERR410113
SRR1303277	ERR410121
SRR1303290	ERR410132
SRR1303294	ERR410134
SRR1303302	ERR418320
SRR1303385	ERR418321
SRR1303388	ERR418330
SRR1303401	ERR418340
SRR1303421	ERR418344
SRR1303423	ERR418346
SRR1303431	ERR418351
SRR1303432	ERR418358
SRR1303480	ERR418360
SRR1303497	ERR418368
SRR1303530	ERR418377
SRR1303532	ERR418382
SRR1303539	ERR418384
SRR1303555	ERR418397
SRR1303557	ERR418403
SRR1303570	ERR418407
SRR1303582	ERR418411
SRR1303633	ERR418421
SRR1303636	ERR418425
SRR1324585	ERR418434
SRR1326141	ERR418442
SRR1326187	ERR418450
SRR1326242	ERR418458
SRR1326937	ERR418467
SRR1326941	ERR418468
SRR1326950	ERR418475
SRR1326957	ERR418480
SRR1326966	ERR418489
SRR1326974	ERR418497
SRR1326983	ERR418508
SRR1326984	ERR418526
SRR1326991	ERR418536
SRR1326997	ERR418539
SRR1328178	ERR418547
SRR1328186	ERR418552
SRR1328275	ERR418553
SRR1328300	ERR418561
SRR1328313	ERR418571
SRR1328316	ERR418573
SRR1328325	ERR418578
SRR1328330	ERR418579
SRR1328331	ERR418588
SRR1329226	ERR418598
SRR1329236	ERR418602
SRR1329238	ERR418604
SRR1329244	ERR418609
SRR1329245	ERR418616
SRR1329265	ERR418618
SRR1329276	ERR418626
SRR1329280	ERR418635
SRR1329282	ERR418640
SRR1329287	ERR418642
SRR1329294	ERR418656
SRR1329296	ERR418662
SRR1329305	ERR418666
SRR1329812	ERR418670
SRR1329856	ERR418680
SRR1330200	ERR418686
SRR1330216	ERR418695
SRR1330223	ERR418702
SRR1330227	ERR418710
SRR1330231	ERR418718
SRR1330243	ERR418728
SRR1330247	ERR418729
SRR1330259	ERR418736
SRR1330269	ERR418741
SRR1330278	ERR418749
SRR1330370	ERR418757
SRR1330403	ERR418768
SRR1330404	ERR418785
SRR1330411	ERR418795
SRR1330417	ERR418798
SRR1330425	ERR418806
SRR1340403	ERR418811
SRR1340415	ERR418812
SRR1342139	ERR418850
SRR1342151	ERR418860
SRR1342155	ERR418862
SRR1342168	ERR418867
SRR1342173	ERR418868
SRR1342174	ERR418877
SRR1342184	ERR418887
SRR1342198	ERR418891
SRR1342200	ERR418893
SRR1342284	ERR418898
SRR1342285	ERR418905
SRR1342321	ERR418907
SRR1342331	ERR418915
SRR1342336	ERR418924
SRR1342338	ERR418929
SRR1342344	ERR418931
SRR1342351	ERR418944
SRR1342354	ERR418950
SRR1342363	ERR418954
SRR1342376	ERR418958
SRR1342382	ERR418968
SRR1342384	ERR418972
SRR1344690	ERR418981
SRR1344698	ERR418988
SRR1344703	ERR418996
SRR1344708	ERR419004
SRR1344766	ERR419014
SRR1344774	ERR419015
SRR1344784	ERR419022
SRR1344792	ERR419027
SRR1344802	ERR419035
SRR1346231	ERR419043
SRR1346334	ERR419054
SRR1346335	ERR419071
SRR1346343	ERR419081
SRR1346353	ERR419084
SRR1346361	ERR419092
SRR1346370	ERR419097
SRR1346398	ERR419098
SRR1347542	ERR419106
SRR1530985	ERR419116
SRR1530988	ERR419119
SRR1530999	ERR419124
SRR1531005	ERR419125
SRR1531007	ERR419134
SRR1531015	ERR419144
SRR1531025	ERR419148
SRR1531027	ERR419150
SRR1531032	ERR419155
	ERR419162
	ERR419164
	ERR419172
	ERR419181
	ERR419186
	ERR419188
	ERR419202
	ERR419208
	ERR419212
	ERR419216
	ERR419226
	ERR419230
	ERR419239
	SRR1177878
	SRR1177887
